Wavelength,Intensity
343.3,8
343.8,8
344.4,7
344.9,7
345.4,7
346.0,7
346.5,6
347.0,6
347.6,6
348.1,6
348.6,6
349.2,6
349.7,6
350.2,6
350.7,6
351.3,6
351.8,6
352.3,6
352.9,6
353.4,5
353.9,5
354.5,5
355.0,5
355.5,5
356.1,5
356.6,5
357.1,5
357.7,5
358.2,5
358.7,5
359.3,5
359.8,5
360.3,6
360.8,5
361.4,5
361.9,5
362.4,5
363.0,5
363.5,5
364.0,5
364.6,4
365.1,5
365.6,4
366.2,4
366.7,5
367.2,5
367.8,5
368.3,5
368.8,5
369.4,5
369.9,4
370.4,4
370.9,4
371.5,4
372.0,4
372.5,4
373.1,4
373.6,4
374.1,4
374.7,4
375.2,4
375.7,4
376.3,4
376.8,4
377.3,4
377.9,4
378.4,4
378.9,4
379.5,3
380.0,4
380.5,4
381.0,4
381.6,3
382.1,4
382.6,3
383.2,4
383.7,3
384.2,4
384.8,4
385.3,3
385.8,3
386.4,3
386.9,3
387.4,3
388.0,3
388.5,3
389.0,3
389.5,4
390.1,4
390.6,4
391.1,4
391.7,4
392.2,3
392.7,4
393.3,4
393.8,3
394.3,3
394.9,3
395.4,3
395.9,3
396.5,3
397.0,3
397.5,3
398.1,3
398.6,3
399.1,3
399.6,3
400.2,4
400.7,4
401.2,4
401.8,4
402.3,4
402.8,4
403.4,4
403.9,4
404.4,4
405.0,4
405.5,4
406.0,4
406.6,4
407.1,4
407.6,5
408.2,5
408.7,5
409.2,5
409.7,5
410.3,5
410.8,5
411.3,6
411.9,6
412.4,5
412.9,6
413.5,6
414.0,6
414.5,6
415.1,6
415.6,7
416.1,7
416.7,7
417.2,7
417.7,8
418.3,8
418.8,9
419.3,9
419.8,9
420.4,10
420.9,10
421.4,11
422.0,11
422.5,12
423.0,12
423.6,13
424.1,13
424.6,14
425.2,15
425.7,16
426.2,17
426.8,18
427.3,19
427.8,20
428.4,21
428.9,21
429.4,22
429.9,23
430.5,25
431.0,25
431.5,26
432.1,27
432.6,27
433.1,27
433.7,28
434.2,28
434.7,28
435.3,28
435.8,28
436.3,29
436.9,31
437.4,32
437.9,32
438.5,33
439.0,35
439.5,36
440.0,36
440.6,36
441.1,38
441.6,39
442.2,39
442.7,45
443.2,52
443.8,61
444.3,73
444.8,84
445.4,96
445.9,104
446.4,115
447.0,126
447.5,132
448.0,141
448.5,148
449.1,157
449.6,161
450.1,164
450.7,168
451.2,171
451.7,174
452.3,176
452.8,177
453.3,178
453.9,178
454.4,177
454.9,175
455.5,173
456.0,170
456.5,165
457.1,160
457.6,156
458.1,152
458.6,144
459.2,140
459.7,139
460.2,130
460.8,122
461.3,117
461.8,110
462.4,105
462.9,102
463.4,100
464.0,97
464.5,94
465.0,92
465.6,90
466.1,89
466.6,87
467.2,86
467.7,85
468.2,82
468.7,80
469.3,78
469.8,78
470.3,76
470.9,74
471.4,73
471.9,72
472.5,71
473.0,71
473.5,71
474.1,71
474.6,71
475.1,72
475.7,71
476.2,72
476.7,71
477.3,71
477.8,71
478.3,71
478.8,72
479.4,71
479.9,71
480.4,71
481.0,71
481.5,70
482.0,70
482.6,69
483.1,70
483.6,70
484.2,69
484.7,70
485.2,70
485.8,70
486.3,71
486.8,71
487.4,72
487.9,72
488.4,70
488.9,70
489.5,69
490.0,70
490.5,69
491.1,69
491.6,69
492.1,68
492.7,69
493.2,70
493.7,70
494.3,71
494.8,72
495.3,73
495.9,75
496.4,76
496.9,76
497.5,78
498.0,79
498.5,81
499.0,82
499.6,84
500.1,86
500.6,89
501.2,92
501.7,95
502.2,98
502.8,101
503.3,105
503.8,108
504.4,111
504.9,114
505.4,116
506.0,118
506.5,120
507.0,121
507.5,124
508.1,126
508.6,128
509.1,129
509.7,131
510.2,133
510.7,134
511.3,136
511.8,139
512.3,141
512.9,143
513.4,145
513.9,147
514.5,148
515.0,151
515.5,153
516.1,154
516.6,154
517.1,155
517.6,156
518.2,157
518.7,158
519.2,159
519.8,161
520.3,163
520.8,164
521.4,166
521.9,167
522.4,168
523.0,169
523.5,169
524.0,169
524.6,170
525.1,170
525.6,171
526.2,171
526.7,172
527.2,173
527.7,174
528.3,174
528.8,175
529.3,176
529.9,177
530.4,177
530.9,178
531.5,178
532.0,179
532.5,180
533.1,180
533.6,181
534.1,181
534.7,181
535.2,181
535.7,181
536.3,181
536.8,181
537.3,181
537.8,181
538.4,180
538.9,180
539.4,179
540.0,178
540.5,178
541.0,177
541.6,177
542.1,176
542.6,176
543.2,176
543.7,177
544.2,177
544.8,177
545.3,177
545.8,178
546.4,179
546.9,179
547.4,179
547.9,180
548.5,180
549.0,180
549.5,180
550.1,180
550.6,180
551.1,180
551.7,180
552.2,181
552.7,181
553.3,181
553.8,182
554.3,182
554.9,182
555.4,182
555.9,183
556.5,183
557.0,182
557.5,182
558.0,183
558.6,183
559.1,183
559.6,184
560.2,184
560.7,185
561.2,185
561.8,186
562.3,187
562.8,187
563.4,188
563.9,188
564.4,188
565.0,187
565.5,187
566.0,186
566.5,185
567.1,184
567.6,183
568.1,183
568.7,181
569.2,180
569.7,179
570.3,178
570.8,177
571.3,177
571.9,176
572.4,177
572.9,176
573.5,177
574.0,177
574.5,177
575.1,178
575.6,178
576.1,178
576.6,178
577.2,178
577.7,179
578.2,179
578.8,178
579.3,179
579.8,179
580.4,178
580.9,178
581.4,178
582.0,178
582.5,179
583.0,180
583.6,180
584.1,181
584.6,182
585.2,182
585.7,182
586.2,179
586.7,177
587.3,173
587.8,171
588.3,168
588.9,165
589.4,162
589.9,159
590.5,157
591.0,155
591.5,152
592.1,150
592.6,149
593.1,148
593.7,147
594.2,146
594.7,144
595.3,144
595.8,144
596.3,143
596.8,143
597.4,141
597.9,142
598.4,142
599.0,139
599.5,137
600.0,137
600.6,137
601.1,134
601.6,132
602.2,131
602.7,128
603.2,126
603.8,126
604.3,123
604.8,125
605.4,123
605.9,121
606.4,122
606.9,121
607.5,118
608.0,118
608.5,118
609.1,116
609.6,116
610.1,115
610.7,116
611.2,114
611.7,113
612.3,112
612.8,110
613.3,109
613.9,106
614.4,103
614.9,102
615.5,100
616.0,100
616.5,100
617.0,100
617.6,99
618.1,101
618.6,106
619.2,113
619.7,117
620.2,120
620.8,123
621.3,127
621.8,129
622.4,131
622.9,132
623.4,133
624.0,136
624.5,140
625.0,140
625.5,145
626.1,148
626.6,148
627.1,151
627.7,153
628.2,154
628.7,154
629.3,156
629.8,158
630.3,158
630.9,157
631.4,156
631.9,155
632.5,153
633.0,149
633.5,147
634.1,139
634.6,132
635.1,115
635.6,102
636.2,100
636.7,99
637.2,100
637.8,101
638.3,101
638.8,101
639.4,99
639.9,97
640.4,97
641.0,95
641.5,94
642.0,92
642.6,90
643.1,89
643.6,88
644.2,86
644.7,82
645.2,83
645.7,78
646.3,73
646.8,69
647.3,64
647.9,60
648.4,56
648.9,54
649.5,50
650.0,47
650.5,44
651.1,40
651.6,37
652.1,34
652.7,32
653.2,31
653.7,29
654.3,28
654.8,26
655.3,26
655.8,25
656.4,24
656.9,23
657.4,21
658.0,21
658.5,20
659.0,19
659.6,19
660.1,18
660.6,18
661.2,18
661.7,18
662.2,17
662.8,17
663.3,17
663.8,16
664.4,16
664.9,16
665.4,16
665.9,15
666.5,15
667.0,14
667.5,14
668.1,14
668.6,14
669.1,14
669.7,13
670.2,13
670.7,13
671.3,13
671.8,13
672.3,13
672.9,12
673.4,12
673.9,12
674.5,12
675.0,12
675.5,12
676.0,12
676.6,12
677.1,12
677.6,12
678.2,12
678.7,11
679.2,11
679.8,11
680.3,11
680.8,11
